name,serving_size,calories,protein,carbohydrate,total_fat
Cornstarch,100 g,381,0.26 g,91.27 g,0.1g
"Nuts, pecans",100 g,691,9.17 g,13.86 g,72g
"Eggplant, raw",100 g,25,0.98 g,5.88 g,0.2g
"Teff, uncooked",100 g,367,13.30 g,73.13 g,2.4g
"Sherbet, orange",100 g,144,1.10 g,30.40 g,2g
"Cauliflower, raw",100 g,25,1.92 g,4.97 g,0.3g
"Taro leaves, raw",100 g,42,4.98 g,6.70 g,0.7g
"Lamb, raw, ground",100 g,282,16.56 g,0.00 g,23g
"Cheese, camembert",100 g,300,19.80 g,0.46 g,24g
Vegetarian fillets,100 g,290,23.00 g,9.00 g,18g
"PACE, Picante Sauce",100 g,25,0.00 g,6.25 g,0g
"Goji berries, dried",100 g,349,14.26 g,77.06 g,0.4g
"Mango nectar, canned",100 g,51,0.11 g,13.12 g,0.1g
"Crackers, rusk toast",100 g,407,13.50 g,72.30 g,7.2g
"Chicken, boiled, feet",100 g,215,19.40 g,0.20 g,15g
"Quail, raw, meat only",100 g,134,21.76 g,0.00 g,4.5g
"Pie, lemon, fried pies",100 g,316,3.00 g,42.60 g,16g
"Peppers, raw, jalapeno",100 g,29,0.91 g,6.50 g,0.4g
"Winged bean tuber, raw",100 g,148,11.60 g,28.10 g,0.9g
"Salami, turkey, cooked",100 g,172,19.20 g,1.55 g,9.2g
"Grapes, raw, muscadine",100 g,57,0.81 g,13.93 g,0.5g
"Nuts, raw, ginkgo nuts",100 g,182,4.32 g,37.60 g,1.7g
"Spices, ground, savory",100 g,272,6.73 g,68.73 g,5.9g
"Candies, sesame crunch",100 g,516,11.60 g,50.30 g,33g
"Cheese, low fat, cream",100 g,201,7.85 g,8.13 g,15g
"PACE, Green Taco Sauce",100 g,25,0.00 g,6.25 g,0g
"Syrup, Canadian, maple",100 g,270,0.00 g,67.38 g,0g
"Ostrich, raw, top loin",100 g,119,21.67 g,0.00 g,3g
"Chewing gum, sugarless",100 g,268,0.00 g,94.80 g,0.4g
"Nuts, dried, pine nuts",100 g,673,13.69 g,13.08 g,68g
"Pasta, unenriched, dry",100 g,371,13.04 g,74.67 g,1.5g
"McDONALD'S, Side Salad",100 g,20,1.03 g,4.30 g,0.2g
"Cookies, Marie biscuit",100 g,406,7.05 g,70.54 g,11g
"Broccoli, raw, chinese",100 g,30,1.20 g,4.67 g,0.8g
"McDONALD'S, Hash Brown",100 g,271,2.48 g,28.56 g,16g
"Agave, raw (Southwest)",100 g,68,0.52 g,16.23 g,0.2g
"Emu, raw, outside drum",100 g,103,23.08 g,0.00 g,0.5g
"Nuts, dried, beechnuts",100 g,576,6.20 g,33.50 g,50g
"Currants, dried, zante",100 g,283,4.08 g,74.08 g,0.3g
"Lentils, raw, sprouted",100 g,106,8.96 g,22.14 g,0.6g
"Gravy, mix, dry, onion",100 g,322,9.00 g,67.64 g,3g
"Pie, fruit, fried pies",100 g,316,3.00 g,42.60 g,16g
"Snacks, cakes, popcorn",100 g,384,9.70 g,80.10 g,3.1g
"Snack, Mixed Berry Bar",100 g,383,13.16 g,58.84 g,11g
"Fish, raw, sheepshead",100 g,108,20.21 g,0.00 g,2.4g
"Babyfood, pear, juice",100 g,47,0.00 g,11.86 g,0g
"Brussels sprouts, raw",100 g,43,3.38 g,8.95 g,0.3g
"Broccoli raab, cooked",100 g,33,3.83 g,3.12 g,0.5g
"Butter oil, anhydrous",100 g,876,0.28 g,0.00 g,99g
"Chicory, raw, witloof",100 g,17,0.90 g,4.00 g,0.1g
"KEEBLER, Waffle Cones",100 g,424,6.50 g,87.70 g,5.3g
"KEEBLER, Waffle Bowls",100 g,424,6.50 g,87.70 g,5.3g
"Broccoli, raw, leaves",100 g,28,2.98 g,5.06 g,0.4g
"Durian, raw or frozen",100 g,147,1.47 g,27.09 g,5.3g
"Tomatoes, raw, orange",100 g,16,1.16 g,3.18 g,0.2g
"Tomatoes, raw, yellow",100 g,15,0.98 g,2.98 g,0.3g
"Egg custards, dry mix",100 g,410,6.90 g,82.80 g,6.4g
"Peanut flour, low fat",100 g,428,33.80 g,31.27 g,22g
"Fish, smoked, haddock",100 g,116,25.23 g,0.00 g,1g
"DENNY'S, french fries",100 g,282,3.41 g,35.20 g,14g
"Ground turkey, cooked",100 g,203,27.37 g,0.00 g,10g
"MURRAY, Vanilla Wafer",100 g,461,4.00 g,72.90 g,17g
"WENDY'S, french fries",100 g,301,3.73 g,39.73 g,14g
"Bread, toasted, wheat",100 g,313,12.96 g,55.77 g,4.3g
"Danish pastry, cheese",100 g,374,8.00 g,37.20 g,22g
"Nuts, glazed, walnuts",100 g,500,8.28 g,47.59 g,36g
"Spices, garlic powder",100 g,331,16.55 g,72.73 g,0.7g
"Oil, soybean lecithin",100 g,763,0.00 g,0.00 g,100g
"Egg, fresh, raw, yolk",100 g,322,15.86 g,3.59 g,27g
"Fireweed, raw, leaves",100 g,103,4.71 g,19.22 g,2.8g
"Beef, pastrami, cured",100 g,147,21.80 g,0.36 g,5.8g
"Frankfurter, meatless",100 g,233,19.61 g,7.70 g,14g
"Emu, raw, flat fillet",100 g,102,22.25 g,0.00 g,0.7g
"Emu, raw, inside drum",100 g,108,22.22 g,0.00 g,1.5g
"Ice creams, chocolate",100 g,216,3.80 g,28.20 g,11g
"Snacks, potato sticks",100 g,522,6.70 g,53.30 g,34g
"USDA Commodity, salsa",100 g,36,1.50 g,7.00 g,0.2g
"Figs, uncooked, dried",100 g,249,3.30 g,63.87 g,0.9g
"Game meat, raw, horse",100 g,133,21.39 g,0.00 g,4.6g
"Syrup, fruit flavored",100 g,261,0.00 g,65.10 g,0g
"Broccoli, raw, stalks",100 g,28,2.98 g,5.24 g,0.4g
"Cream, cultured, sour",100 g,198,2.44 g,4.63 g,19g
"Gravy, canned, au jus",100 g,16,1.20 g,2.50 g,0.2g
"McDONALD'S, Hamburger",100 g,264,12.92 g,30.28 g,10g
"Cheese, port de salut",100 g,352,23.78 g,0.57 g,28g
SILK Original Creamer,100 g,100,0.00 g,6.67 g,6.7g
SILK Hazelnut Creamer,100 g,133,0.00 g,20.00 g,6.7g
"Soup, mix, dry, onion",100 g,293,7.48 g,65.07 g,0.3g
"Mushrooms, raw, enoki",100 g,37,2.66 g,7.81 g,0.3g
Bacon and beef sticks,100 g,517,29.10 g,0.80 g,44g
"Salami, pork, Italian",100 g,425,21.70 g,1.20 g,37g
"Crackers, whole-wheat",100 g,427,10.58 g,69.55 g,14g
"Peanuts, raw, spanish",100 g,570,26.15 g,15.83 g,50g
"Hominy, white, canned",100 g,72,1.48 g,14.26 g,0.9g
"Game meat, raw, moose",100 g,102,22.24 g,0.00 g,0.7g
"Pears, red anjou, raw",100 g,62,0.33 g,14.94 g,0.1g
"Horseradish, prepared",100 g,48,1.18 g,11.29 g,0.7g
"Fish, raw, butterfish",100 g,146,17.28 g,0.00 g,8g
"Lebanon bologna, beef",100 g,172,19.03 g,0.44 g,10g
Ham and cheese spread,100 g,245,16.18 g,2.28 g,19g
"TACO BELL, Taco Salad",100 g,170,6.69 g,15.10 g,9.2g
"Sauce, worcestershire",100 g,78,0.00 g,19.46 g,0g
"Candies, marshmallows",100 g,318,1.80 g,81.30 g,0.2g
"Hummus, home prepared",100 g,177,4.86 g,20.12 g,8.6g
Horned melon (Kiwano),100 g,44,1.78 g,7.56 g,1.3g
Ice cream sundae cone,100 g,254,3.00 g,28.89 g,14g
"Peppers, raw, serrano",100 g,32,1.74 g,6.70 g,0.4g
"Cabbage, cooked, napa",100 g,12,1.10 g,2.23 g,0.2g
"Peppers, dried, ancho",100 g,281,11.86 g,51.42 g,8.2g
"Parsley, freeze-dried",100 g,271,31.30 g,42.38 g,5.2g
"Spices, black, pepper",100 g,251,10.39 g,63.95 g,3.3g
"Spices, white, pepper",100 g,296,10.40 g,68.61 g,2.1g
"Yambean (jicama), raw",100 g,38,0.72 g,8.82 g,0.1g
"Nuts, dried, pilinuts",100 g,719,10.80 g,3.98 g,80g
"Kiwifruit, raw, green",100 g,61,1.14 g,14.66 g,0.5g
"Drumstick leaves, raw",100 g,64,9.40 g,8.28 g,1.4g
"Yautia (tannier), raw",100 g,98,1.46 g,23.63 g,0.4g
"Candies, butterscotch",100 g,391,0.03 g,90.40 g,3.3g
"Cucumber, raw, peeled",100 g,12,0.59 g,2.16 g,0.2g
"Dandelion greens, raw",100 g,45,2.70 g,9.20 g,0.7g
"Melons, raw, honeydew",100 g,36,0.54 g,9.09 g,0.1g
Potato salad with egg,100 g,157,1.96 g,16.18 g,9.4g
"Mushrooms, raw, white",100 g,22,3.09 g,3.26 g,0.3g
"Mushrooms, raw, morel",100 g,31,3.12 g,5.10 g,0.6g
"Cheese, Mexican blend",100 g,358,23.54 g,1.75 g,29g
"Oranges, Florida, raw",100 g,46,0.70 g,11.54 g,0.2g
"SILK Vanilla, soymilk",100 g,41,2.47 g,4.12 g,1.4g
"Papaya nectar, canned",100 g,57,0.17 g,14.51 g,0.2g
"Fiddlehead ferns, raw",100 g,34,4.55 g,5.54 g,0.4g
SILK Peach soy yogurt,100 g,94,2.35 g,18.82 g,1.2g
SILK Plain soy yogurt,100 g,66,2.64 g,9.69 g,1.8g
"PACE, Enchilada Sauce",100 g,40,1.67 g,8.33 g,0g
Yeast extract spread,100 g,185,23.88 g,20.42 g,0.9g
"Tomatoes, raw, green",100 g,23,1.20 g,5.10 g,0.2g
"Mollusks, raw, snail",100 g,90,16.10 g,2.00 g,1.4g
"Emu, raw, fan fillet",100 g,103,22.50 g,0.00 g,0.8g
"Pasta, enriched, dry",100 g,371,13.04 g,74.67 g,1.5g
"Cookies, gingersnaps",100 g,416,5.60 g,76.90 g,9.8g
"Sour cream, fat free",100 g,74,3.10 g,15.60 g,0g
"MURRAY, Honey Graham",100 g,445,5.90 g,75.70 g,13g
"Frankfurter, chicken",100 g,223,15.51 g,2.74 g,16g
"Ham, canned, chopped",100 g,239,16.06 g,0.26 g,19g
"Spices, dried, thyme",100 g,276,9.11 g,63.94 g,7.4g
"Carrot juice, canned",100 g,40,0.95 g,9.28 g,0.2g
"Corn, dried (Navajo)",100 g,386,9.88 g,74.93 g,5.2g
"Pate, truffle flavor",100 g,327,11.20 g,6.30 g,29g
"Fruit butters, apple",100 g,173,0.39 g,42.47 g,0.3g
"Fast foods, coleslaw",100 g,153,0.95 g,14.89 g,9.9g
"Salami, beef, cooked",100 g,261,12.60 g,1.90 g,22g
"Spices, chili powder",100 g,282,13.46 g,49.70 g,14g
"Spices, caraway seed",100 g,333,19.77 g,49.90 g,15g
"Spices, dried, basil",100 g,233,22.98 g,47.75 g,4.1g
"Pickle relish, sweet",100 g,130,0.37 g,35.06 g,0.5g
"Chives, freeze-dried",100 g,311,21.20 g,64.29 g,3.5g
"Fish, raw, sablefish",100 g,195,13.41 g,0.00 g,15g
"Crackers, multigrain",100 g,482,7.10 g,67.60 g,20g
"Spices, ground, mace",100 g,475,6.71 g,50.50 g,32g
"Spices, onion powder",100 g,341,10.41 g,79.12 g,1g
"Butter, without salt",100 g,717,0.85 g,0.06 g,81g
"Rice noodles, cooked",100 g,108,1.79 g,24.01 g,0.2g
Barley flour or meal,100 g,345,10.50 g,74.52 g,1.6g
"Sesbania flower, raw",100 g,27,1.28 g,6.73 g,0g
"Garlic bread, frozen",100 g,350,8.36 g,41.72 g,17g
"KFC, Popcorn Chicken",100 g,351,17.67 g,21.18 g,22g
"APPLEBEE'S, coleslaw",100 g,120,0.79 g,13.17 g,7.1g
"Rolls, sweet, dinner",100 g,321,10.04 g,53.58 g,7.4g
"Cherries, raw, sweet",100 g,63,1.06 g,16.01 g,0.2g
"Ostrich, raw, ground",100 g,165,20.22 g,0.00 g,8.7g
"SILK Coffee, soymilk",100 g,62,2.06 g,10.29 g,1.4g
"Snacks, banana chips",100 g,519,2.30 g,58.40 g,34g
"Peaches, raw, yellow",100 g,39,0.91 g,9.54 g,0.3g
"Rolls, wheat, dinner",100 g,273,8.60 g,46.00 g,6.3g
"Candies, HEATH BITES",100 g,530,3.94 g,63.39 g,30g
"Chicken, raw, ground",100 g,143,17.44 g,0.04 g,8.1g
"Pears, bartlett, raw",100 g,63,0.39 g,15.01 g,0.2g
"Toppings, strawberry",100 g,254,0.20 g,66.30 g,0.1g
"KEEBLER, Sugar Cones",100 g,375,7.30 g,78.00 g,3.7g
"Seaweed, raw, wakame",100 g,45,3.03 g,9.14 g,0.6g
"Seaweed, dried, agar",100 g,306,6.21 g,80.88 g,0.3g
"Bread, cracked-wheat",100 g,260,8.70 g,49.50 g,3.9g
"Amaranth leaves, raw",100 g,23,2.46 g,4.02 g,0.3g
"Barley, raw, pearled",100 g,352,9.91 g,77.72 g,1.2g
"Polish sausage, pork",100 g,326,14.10 g,1.63 g,29g
"Spices, curry powder",100 g,325,14.29 g,55.83 g,14g
"Bacon bits, meatless",100 g,476,32.00 g,28.60 g,26g
"Semolina, unenriched",100 g,360,12.68 g,72.83 g,1.1g
"Grape leaves, canned",100 g,69,4.27 g,11.71 g,2g
"Spices, ground, sage",100 g,315,10.63 g,60.73 g,13g
"PACE, Red Taco Sauce",100 g,50,0.00 g,12.50 g,0g
"DENNY'S, hash browns",100 g,197,2.49 g,26.59 g,9g
"DENNY'S, onion rings",100 g,385,5.29 g,41.05 g,22g
"Ostrich, raw, oyster",100 g,125,21.55 g,0.00 g,3.7g
"Oil, corn and canola",100 g,884,0.00 g,0.00 g,100g
"Pumpkin flowers, raw",100 g,15,1.03 g,3.28 g,0.1g
"Celery flakes, dried",100 g,319,11.30 g,63.70 g,2.1g
"Crackers, egg, matzo",100 g,391,12.30 g,78.60 g,2.1g
"Loganberries, frozen",100 g,55,1.52 g,13.02 g,0.3g
"Tangerine juice, raw",100 g,43,0.50 g,10.10 g,0.2g
